"idMonitoramento";"medida";"dtHora";"fkComponente"
1;35.5;"2025-03-19 13:01:44";1
2;201066000.0;"2025-03-19 13:01:44";2
3;0.0;"2025-03-19 13:01:44";3
4;2400.0;"2025-03-19 13:01:44";4
5;30.9;"2025-03-19 13:01:45";1
6;201072000.0;"2025-03-19 13:01:45";2
7;0.0;"2025-03-19 13:01:45";3
8;2400.0;"2025-03-19 13:01:45";4
9;45.9;"2025-03-19 13:01:46";1
10;201080000.0;"2025-03-19 13:01:46";2
11;0.0;"2025-03-19 13:01:46";3
12;2400.0;"2025-03-19 13:01:46";4
13;33.9;"2025-03-19 13:01:47";1
14;201086000.0;"2025-03-19 13:01:47";2
15;0.0;"2025-03-19 13:01:47";3
16;2400.0;"2025-03-19 13:01:47";4
17;43.6;"2025-03-19 13:01:48";1
18;201094000.0;"2025-03-19 13:01:48";2
19;0.0;"2025-03-19 13:01:48";3
20;2400.0;"2025-03-19 13:01:48";4
21;28.8;"2025-03-19 13:01:49";1
22;201100000.0;"2025-03-19 13:01:49";2
23;0.0;"2025-03-19 13:01:49";3
24;2400.0;"2025-03-19 13:01:49";4
25;33.2;"2025-03-19 13:01:50";1
26;201106000.0;"2025-03-19 13:01:50";2
27;0.0;"2025-03-19 13:01:50";3
28;2400.0;"2025-03-19 13:01:50";4
29;33.9;"2025-03-19 13:01:51";1
30;201113000.0;"2025-03-19 13:01:51";2
31;0.0;"2025-03-19 13:01:51";3
32;2400.0;"2025-03-19 13:01:51";4
33;32.8;"2025-03-19 13:01:52";1
34;201118000.0;"2025-03-19 13:01:52";2
35;0.0;"2025-03-19 13:01:52";3
36;2400.0;"2025-03-19 13:01:52";4
37;30.7;"2025-03-19 13:01:53";1
38;201123000.0;"2025-03-19 13:01:53";2
39;0.0;"2025-03-19 13:01:53";3
40;2400.0;"2025-03-19 13:01:53";4
41;29.3;"2025-03-19 13:01:54";1
42;201129000.0;"2025-03-19 13:01:54";2
43;0.0;"2025-03-19 13:01:54";3
44;2400.0;"2025-03-19 13:01:54";4
45;33.1;"2025-03-19 13:01:55";1
46;201137000.0;"2025-03-19 13:01:55";2
47;0.0;"2025-03-19 13:01:55";3
48;2400.0;"2025-03-19 13:01:55";4
49;48.1;"2025-03-19 13:01:56";1
50;201148000.0;"2025-03-19 13:01:56";2
51;0.0;"2025-03-19 13:01:56";3
52;2400.0;"2025-03-19 13:01:56";4
53;47.3;"2025-03-19 13:01:57";1
54;201162000.0;"2025-03-19 13:01:57";2
55;0.0;"2025-03-19 13:01:57";3
56;2400.0;"2025-03-19 13:01:57";4
57;48.4;"2025-03-19 13:01:58";1
58;201174000.0;"2025-03-19 13:01:58";2
59;0.0;"2025-03-19 13:01:58";3
60;2400.0;"2025-03-19 13:01:58";4
61;44.7;"2025-03-19 13:01:59";1
62;201185000.0;"2025-03-19 13:01:59";2
63;0.0;"2025-03-19 13:01:59";3
64;2400.0;"2025-03-19 13:01:59";4
